ts,ecg
1626177559345.49,-2.86676262220891
1626177559348.82,-3.06437588505458
1626177559352.14,-3.4587369512006
1626177559355.47,-3.93683122835532
1626177559358.8,-4.15759553403801
1626177559362.12,-4.3911974896428
1626177559365.45,-4.39199082755933
1626177559368.77,-4.38138894812929
1626177559372.1,-4.34417418768098
1626177559375.43,-4.32484559116907
1626177559378.75,-4.34042386298464
1626177559382.08,-4.38636534051482
1626177559385.41,-4.39985208509589
1626177559388.73,-4.39840965252038
1626177559392.06,-4.37684528551642
1626177559395.39,-4.39321689524852
1626177559398.71,-4.40591030191306
1626177559402.04,-4.39920299043691
1626177559405.36,-4.40713636960225
1626177559408.69,-4.40857880217776
1626177559412.02,-4.3909090031277
1626177559415.34,-4.40778546426123
1626177559418.67,-4.42588799308395
1626177559422,-4.4165121813431
1626177559425.32,-4.41571884342657
1626177559428.65,-4.40504484236775
1626177559431.98,-4.41218488361655
1626177559435.3,-4.39761631460384
1626177559438.63,-4.4030975583908
1626177559441.96,-4.39170234104423
1626177559445.28,-4.39848177414915
1626177559448.61,-4.38499502956808
1626177559451.93,-4.37352769059273
1626177559455.26,-4.37576346108478
1626177559458.59,-4.40374665304979
1626177559461.91,-4.39163021941545
1626177559465.24,-4.38391320513644
1626177559468.57,-4.35600213480021
1626177559471.89,-4.35427121570959
1626177559475.22,-4.34900633680896
1626177559478.55,-4.33321170010706
1626177559481.87,-4.34597722840038
1626177559485.2,-4.35124210730101
1626177559488.53,-4.32037405018497
1626177559491.85,-4.31907586086701
1626177559495.18,-4.29664603431774
1626177559498.5,-4.29599693965875
1626177559501.83,-4.30587760280104
1626177559505.16,-4.30594972442981
1626177559508.48,-4.29368904753793
1626177559511.81,-4.25250759750695
1626177559515.14,-4.25467124637023
1626177559518.46,-4.23880448803955
1626177559521.79,-4.23721781220648
1626177559525.12,-4.24926212421204
1626177559528.44,-4.23995843409996
1626177559531.77,-4.23793902849424
1626177559535.1,-4.20101275456104
1626177559538.42,-4.18391992854118
1626177559541.75,-4.15737916915168
1626177559545.07,-4.16379799411273
1626177559548.4,-4.12845839601259
1626177559551.73,-4.10775948855394
1626177559555.05,-4.10090793382024
1626177559558.38,-4.08871937855713
1626177559561.71,-4.06491924106112
1626177559565.03,-4.05799556469864
1626177559568.36,-4.04321063079961
1626177559571.69,-4.02994025110486
1626177559575.01,-4.01818442561441
1626177559578.34,-4.00606799198007
1626177559581.67,-3.99921643724638
1626177559584.99,-3.99157154459614
1626177559588.32,-3.9875327333847
1626177559591.64,-3.98580181429408
1626177559594.97,-3.9607034874801
1626177559598.3,-3.99243700414145
1626177559601.62,-4.00931346527499
1626177559604.95,-4.01847291212951
1626177559608.28,-4.03780150864142
1626177559611.6,-4.06542409246255
1626177559614.93,-4.07559324211994
1626177559618.26,-4.12232805756665
1626177559621.58,-4.16206707502211
1626177559624.91,-4.17915990104197
1626177559628.23,-4.22726502743543
1626177559631.56,-4.24262693436467
1626177559634.89,-4.26823011258008
1626177559638.21,-4.31200794124698
1626177559641.54,-4.31301764404984
1626177559644.87,-4.32123950973028
1626177559648.19,-4.34042386298464
1626177559651.52,-4.36905614960863
1626177559654.85,-4.36992160915394
1626177559658.17,-4.38023500206888
1626177559661.5,-4.39372174664995
1626177559664.83,-4.40569393702673
1626177559668.15,-4.42184918187251
1626177559671.48,-4.40353028816346
1626177559674.8,-4.42509465516742
1626177559678.13,-4.44752448171669
1626177559681.46,-4.44168262978585
1626177559684.78,-4.44334142724769
1626177559688.11,-4.4436299137628
1626177559691.44,-4.44507234633831
1626177559694.76,-4.45726090160142
1626177559698.09,-4.44312506236137
1626177559701.42,-4.45560210413958
1626177559704.74,-4.44262021095994
1626177559708.07,-4.47529130879537
1626177559711.4,-4.45798211788918
1626177559714.72,-4.45740514485897
1626177559718.05,-4.45430391482162
1626177559721.37,-4.45827060440428
1626177559724.7,-4.44240384607361
1626177559728.03,-4.45949667209347
1626177559731.35,-4.46216517235818
1626177559734.68,-4.47406524110618
1626177559738.01,-4.47197371387168
1626177559741.33,-4.46562701053941
